name,description
ABC,atom-bond connectivity index
ABCGG,Graovac-Ghorbani atom-bond connectivity index
nAcid,acidic group count
nBase,basic group count
nAromAtom,aromatic atoms count
nAromBond,aromatic bonds count
nAtom,number of all atoms
nHeavyAtom,number of heavy atoms
nBridgehead,number of bridgehead atoms
nH,number of H atoms
nC,number of C atoms
nN,number of N atoms
nO,number of O atoms
nS,number of S atoms
nF,number of F atoms
nCl,number of Cl atoms
nX,number of halogen atoms
ATS0dv,moreau-broto autocorrelation of lag 0 weighted by valence electrons
ATS1dv,moreau-broto autocorrelation of lag 1 weighted by valence electrons
ATS2dv,moreau-broto autocorrelation of lag 2 weighted by valence electrons
ATS3dv,moreau-broto autocorrelation of lag 3 weighted by valence electrons
ATS4dv,moreau-broto autocorrelation of lag 4 weighted by valence electrons
ATS5dv,moreau-broto autocorrelation of lag 5 weighted by valence electrons
ATS6dv,moreau-broto autocorrelation of lag 6 weighted by valence electrons
ATS7dv,moreau-broto autocorrelation of lag 7 weighted by valence electrons
ATS8dv,moreau-broto autocorrelation of lag 8 weighted by valence electrons
ATS0d,moreau-broto autocorrelation of lag 0 weighted by sigma electrons
ATS1d,moreau-broto autocorrelation of lag 1 weighted by sigma electrons
ATS2d,moreau-broto autocorrelation of lag 2 weighted by sigma electrons
ATS3d,moreau-broto autocorrelation of lag 3 weighted by sigma electrons
ATS4d,moreau-broto autocorrelation of lag 4 weighted by sigma electrons
ATS5d,moreau-broto autocorrelation of lag 5 weighted by sigma electrons
ATS6d,moreau-broto autocorrelation of lag 6 weighted by sigma electrons
ATS7d,moreau-broto autocorrelation of lag 7 weighted by sigma electrons
ATS8d,moreau-broto autocorrelation of lag 8 weighted by sigma electrons
ATS0Z,moreau-broto autocorrelation of lag 0 weighted by atomic number
ATS1Z,moreau-broto autocorrelation of lag 1 weighted by atomic number
ATS2Z,moreau-broto autocorrelation of lag 2 weighted by atomic number
ATS3Z,moreau-broto autocorrelation of lag 3 weighted by atomic number
ATS4Z,moreau-broto autocorrelation of lag 4 weighted by atomic number
ATS5Z,moreau-broto autocorrelation of lag 5 weighted by atomic number
ATS6Z,moreau-broto autocorrelation of lag 6 weighted by atomic number
ATS7Z,moreau-broto autocorrelation of lag 7 weighted by atomic number
ATS8Z,moreau-broto autocorrelation of lag 8 weighted by atomic number
AATS0dv,averaged moreau-broto autocorrelation of lag 0 weighted by valence electrons
AATS0d,averaged moreau-broto autocorrelation of lag 0 weighted by sigma electrons
AATS0Z,averaged moreau-broto autocorrelation of lag 0 weighted by atomic number
ATSC0dv,centered moreau-broto autocorrelation of lag 0 weighted by valence electrons
ATSC1dv,centered moreau-broto autocorrelation of lag 1 weighted by valence electrons
ATSC2dv,centered moreau-broto autocorrelation of lag 2 weighted by valence electrons
ATSC3dv,centered moreau-broto autocorrelation of lag 3 weighted by valence electrons
ATSC4dv,centered moreau-broto autocorrelation of lag 4 weighted by valence electrons
ATSC5dv,centered moreau-broto autocorrelation of lag 5 weighted by valence electrons
ATSC6dv,centered moreau-broto autocorrelation of lag 6 weighted by valence electrons
ATSC7dv,centered moreau-broto autocorrelation of lag 7 weighted by valence electrons
ATSC8dv,centered moreau-broto autocorrelation of lag 8 weighted by valence electrons
ATSC0d,centered moreau-broto autocorrelation of lag 0 weighted by sigma electrons
ATSC1d,centered moreau-broto autocorrelation of lag 1 weighted by sigma electrons
ATSC2d,centered moreau-broto autocorrelation of lag 2 weighted by sigma electrons
